clients_count,epochs,batch_size,round,nmi,ari,accuracy,test_accuracy
10,300,64,237,0.32216,0.48756,0.8766,0.88136
10,300,64,238,0.37002,0.54734,0.88936,0.88136
10,300,64,239,0.33969,0.51718,0.88085,0.88136
10,300,64,240,0.38543,0.56092,0.89362,0.89831
10,300,64,241,0.43828,0.61554,0.90638,0.89831
10,300,64,242,0.40334,0.58141,0.89787,0.89831
10,300,64,243,0.42059,0.59847,0.90213,0.88136
10,300,64,244,0.37457,0.55417,0.88936,0.86441
10,300,64,245,0.40334,0.58141,0.89787,0.88136
10,300,64,246,0.37457,0.55417,0.88936,0.91525
10,300,64,247,0.40557,0.58453,0.89787,0.89831
10,300,64,248,0.40334,0.58141,0.89787,0.88136
10,300,64,249,0.38852,0.56767,0.89362,0.88136
10,300,64,250,0.35812,0.53753,0.88511,0.91525
10,300,64,251,0.40211,0.57816,0.89787,0.88136
10,300,64,252,0.40211,0.57816,0.89787,0.88136
10,300,64,253,0.42059,0.59847,0.90213,0.89831
10,300,64,254,0.40211,0.57816,0.89787,0.88136
10,300,64,255,0.38543,0.56092,0.89362,0.89831
10,300,64,256,0.37187,0.55083,0.88936,0.89831
10,300,64,257,0.3865,0.56437,0.89362,0.89831
10,300,64,258,0.3865,0.56437,0.89362,0.89831
10,300,64,259,0.3865,0.56437,0.89362,0.88136
10,300,64,260,0.3865,0.56437,0.89362,0.88136
10,300,64,261,0.43828,0.61554,0.90638,0.88136
10,300,64,262,0.3865,0.56437,0.89362,0.88136
10,300,64,263,0.41885,0.5922,0.90213,0.89831
10,300,64,264,0.3865,0.56437,0.89362,0.89831
10,300,64,265,0.40211,0.57816,0.89787,0.91525
10,300,64,266,0.39143,0.57083,0.89362,0.88136
10,300,64,267,0.40874,0.58752,0.89787,0.89831
10,300,64,268,0.3865,0.56437,0.89362,0.88136
10,300,64,269,0.40334,0.58141,0.89787,0.88136
10,300,64,270,0.37002,0.54734,0.88936,0.91525
10,300,64,271,0.37187,0.55083,0.88936,0.88136
10,300,64,272,0.35812,0.53753,0.88511,0.88136
10,300,64,273,0.40557,0.58453,0.89787,0.88136
10,300,64,274,0.37002,0.54734,0.88936,0.91525
10,300,64,275,0.38852,0.56767,0.89362,0.89831
10,300,64,276,0.3865,0.56437,0.89362,0.88136
10,300,64,277,0.37002,0.54734,0.88936,0.88136
10,300,64,278,0.3865,0.56437,0.89362,0.88136
10,300,64,279,0.40334,0.58141,0.89787,0.88136
10,300,64,280,0.41915,0.5954,0.90213,0.88136
10,300,64,281,0.43828,0.61554,0.90638,0.88136
10,300,64,282,0.41885,0.5922,0.90213,0.89831
10,300,64,283,0.41915,0.5954,0.90213,0.86441
10,300,64,284,0.3534,0.53116,0.88085,0.89831
10,300,64,285,0.3226,0.49628,0.8766,0.9322
10,300,64,286,0.38543,0.56092,0.89362,0.88136
10,300,64,287,0.42307,0.60141,0.90213,0.88136
10,300,64,288,0.41885,0.5922,0.90213,0.91525
10,300,64,289,0.40211,0.57816,0.89787,0.89831
10,300,64,290,0.38852,0.56767,0.89362,0.89831
10,300,64,291,0.41885,0.5922,0.90213,0.89831
10,300,64,292,0.41915,0.5954,0.90213,0.89831
10,300,64,293,0.41915,0.5954,0.90213,0.89831
